Site,Phase,Replicate,Rock,Sand,Foliose,CC,Silt,Mussel,Sponge,Bryozoan,Colonial acsidian,Pyura stonlinifera,Dwarf barnacles,Burnupena sp,Urchins,Henricia ornata,Cymbulla compressa,Other Gastropod,Turbo cidaris,Oxystele sinensis,Chiton tulipa,Anemone,Comanthus wahlbergi,Kelp recruits,Kelp Adults
Oudekraal,Before,O4Q6,0,0,85,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Oudekraal,Before,O4Q7,5,0,60,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,Before,O4Q8,0,0,90,30,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,3  Months,O3Q1,100,0,10,0,70,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Oudekraal,3  Months,O3Q2,100,0,30,30,65,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Oudekraal,3  Months,O3Q3,100,0,20,10,80,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Oudekraal,3  Months,O3Q4,100,0,30,5,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Oudekraal,3  Months,O3Q5,100,0,40,20,60,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
Oudekraal,3  Months,O3Q6,100,0,20,0,95,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Oudekraal,3  Months,O3Q7,100,0,30,0,100,60,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0
Oudekraal,3  Months,O3Q8,100,0,40,0,90,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Oudekraal,3  Months,O4Q1,100,0,60,5,80,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Oudekraal,3  Months,O4Q2,100,0,80,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Oudekraal,3  Months,O4Q3,100,0,90,5,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Oudekraal,3  Months,O4Q4,100,0,70,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oudekraal,3  Months,O4Q5,100,0,75,15,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,3  Months,O4Q6,100,0,20,50,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Oudekraal,3  Months,O4Q7,100,0,70,80,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oudekraal,3  Months,O4Q8,100,0,50,100,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,6  Months,O3Q1,100,0,60,40,5,10,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,3,0
Oudekraal,6  Months,O3Q2,100,0,40,20,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
Oudekraal,6  Months,O3Q3,100,0,60,5,10,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Oudekraal,6  Months,O3Q4,100,0,30,0,40,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Oudekraal,6  Months,O3Q5,100,0,20,1,30,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Oudekraal,6  Months,O3Q6,100,0,30,0,45,55,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0
Oudekraal,6  Months,O3Q7,100,0,40,10,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Oudekraal,6  Months,O3Q8,100,0,20,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Oudekraal,6  Months,O4Q1,100,0,65,40,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oudekraal,6  Months,O4Q2,100,0,90,10,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Oudekraal,6  Months,O4Q3,100,0,85,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Oudekraal,6  Months,O4Q4,100,0,40,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,6  Months,O4Q5,100,0,80,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
Oudekraal,6  Months,O4Q6,100,0,70,15,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oudekraal,6  Months,O4Q7,100,0,30,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,6  Months,O4Q8,100,0,70,10,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Bordjies,Before,B3Q1,100,10,20,70,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,6
Bordjies,Before,B3Q2,100,5,3,90,0,0,0,0,0,0,0,0,3,0,1,0,3,0,1,0,0,9,7
Bordjies,Before,B3Q3,100,0,3,100,0,0,0,0,0,0,0,0,29,0,0,0,2,0,1,5,3,9,7
Bordjies,Before,B3Q4,100,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bordjies,Before,B3Q5,100,0,10,100,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,8
Bordjies,Before,B3Q6,100,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
Bordjies,Before,B3Q7,100,10,10,90,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,4,17
Bordjies,Before,B3Q8,100,0,40,90,0,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2
Bordjies,Before,B4Q1,100,0,5,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,9
Bordjies,Before,B4Q2,100,0,2,60,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
Bordjies,Before,B4Q3,100,0,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2
Bordjies,Before,B4Q4,100,0,35,80,0,0,0,0,0,0,0,1,7,0,0,0,0,2,0,0,0,7,2
Bordjies,Before,B4Q5,100,0,10,80,5,0,5,0,0,0,0,2,11,0,1,0,0,0,0,0,0,12,2
Bordjies,Before,B4Q6,100,0,40,55,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0
Bordjies,Before,B4Q7,100,0,40,55,5,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,3,6
Bordjies,Before,B4Q8,100,0,60,20,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,10
Bordjies,3  Months,B3Q1,100,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordjies,3  Months,B3Q2,100,0,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
Bordjies,3  Months,B3Q3,100,0,35,60,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Bordjies,3  Months,B3Q4,100,0,70,60,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Bordjies,3  Months,B3Q5,100,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordjies,3  Months,B3Q6,100,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Bordjies,3  Months,B3Q7,100,0,40,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordjies,3  Months,B3Q8,100,0,25,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Bordjies,3  Months,B4Q1,100,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
Bordjies,3  Months,B4Q2,100,0,20,80,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0
Bordjies,3  Months,B4Q3,100,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordjies,3  Months,B4Q4,100,0,15,85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0
Bordjies,3  Months,B4Q5,100,0,10,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Bordjies,3  Months,B4Q6,100,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bordjies,3  Months,B4Q7,100,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0
Bordjies,3  Months,B4Q8,100,0,35,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Bordjies,6  Months,B3Q1,100,0,30,60,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Bordjies,6  Months,B3Q2,100,0,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
Bordjies,6  Months,B3Q3,100,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Bordjies,6  Months,B3Q4,100,0,30,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Bordjies,6  Months,B3Q5,100,0,35,85,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,17,0
Bordjies,6  Months,B3Q6,100,0,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
Bordjies,6  Months,B3Q7,100,0,15,90,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Bordjies,6  Months,B3Q8,100,0,0,100,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Bordjies,6  Months,B4Q1,100,0,5,80,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0
Bordjies,6  Months,B4Q2,100,0,15,85,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0
Bordjies,6  Months,B4Q3,100,0,40,60,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2
Bordjies,6  Months,B4Q4,100,0,15,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Bordjies,6  Months,B4Q5,100,0,40,40,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,2
Bordjies,6  Months,B4Q6,100,0,0,100,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Bordjies,6  Months,B4Q7,100,0,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordjies,6  Months,B4Q8,100,0,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
